"Lot.Frontage","Lot.Area","Neighborhood","Year.Built","Garage.Type","Garage.Finish","Garage.Cars","Paved.Drive","Full.Bath","X1st.Flr.SF","X2nd.Flr.SF","Bedroom.AbvGr","SalePrice"
,7153,"SawyerW",1991,"Attchd","RFn",2,"Y",2,1294,0,3,179200
34,5063,"NridgHt",2007,"Attchd","RFn",2,"Y",2,1314,0,2,207500
80,9600,"NAmes",1967,"Attchd","Unf",2,"Y",1,1568,0,3,143000
59,23303,"NridgHt",2007,"BuiltIn","Fin",3,"Y",2,1508,1012,5,409900
72,7226,"CollgCr",2003,"Attchd","RFn",2,"Y",2,798,842,3,183000
,3940,"Blmngtn",2004,"Attchd","RFn",3,"Y",2,1576,0,2,219990
,10832,"Gilbert",1994,"Attchd","Fin",2,"Y",2,1086,809,3,194500
,11435,"Crawfor",1929,"Detchd","Unf",2,"Y",1,792,725,3,230000
45,8248,"Edwards",1922,,,0,"N",1,964,0,3,83000
63,10712,"Mitchel",1991,,,0,"Y",1,974,0,3,93500
60,8172,"Edwards",1955,"Detchd","Unf",1,"Y",1,768,0,2,125000
69,10205,"NAmes",1962,"Attchd","Unf",1,"Y",1,999,0,3,134500
,21579,"Crawfor",1968,"Attchd","RFn",2,"Y",2,1488,0,3,215000
,8970,"NAmes",1965,"Attchd","Fin",2,"Y",2,825,1315,4,177500
,4928,"NPkVill",1976,"Attchd","RFn",2,"Y",2,958,0,2,128000
76,9291,"SawyerW",1993,"Attchd","RFn",2,"Y",2,832,878,3,187000
,11553,"Sawyer",1968,"Attchd","Unf",1,"Y",1,1159,0,3,158000
,10337,"OldTown",1910,"Detchd","Unf",2,"Y",2,909,863,3,184900
112,16451,"NridgHt",2003,"BuiltIn","Fin",3,"Y",2,1804,886,4,370000
110,15274,"NridgHt",2003,"Attchd","Fin",3,"Y",2,2452,0,3,445000
78,11645,"CollgCr",2005,"Attchd","Fin",2,"Y",2,1734,0,3,260000
88,12216,"Gilbert",2005,"Attchd","Fin",2,"Y",2,1326,0,3,203000
60,9600,"OldTown",1910,"Detchd","Unf",2,"N",2,833,677,3,87500
182,14572,"Gilbert",2004,"Attchd","Fin",3,"Y",2,1530,0,3,259000
60,10320,"IDOTRR",1924,"Detchd","Unf",2,"Y",2,834,596,3,107000
113,13438,"Timber",2008,"Attchd","Fin",3,"Y",2,2036,0,3,410000
60,10320,"IDOTRR",1910,"Detchd","Unf",1,"N",2,866,504,3,50000
60,10800,"OldTown",1914,"Detchd","Unf",2,"N",1,880,888,2,163000
57,6420,"Edwards",1952,"Detchd","Unf",1,"Y",1,1148,0,2,123500
72,10791,"Sawyer",1967,"CarPort","Unf",2,"Y",2,1296,0,2,90000
26,8773,"NAmes",2002,"Attchd","Fin",2,"Y",2,1419,0,2,190000
64,7018,"SawyerW",1979,"Attchd","Unf",2,"Y",2,1535,0,4,118964
48,6240,"NridgHt",2006,"Attchd","Fin",2,"Y",2,1324,0,2,254000
63,7875,"Gilbert",2003,"Attchd","Fin",2,"Y",2,807,702,3,180000
41,2665,"MeadowV",1977,"BuiltIn","RFn",1,"Y",1,616,688,3,104500
80,9600,"NWAmes",1974,"Attchd","RFn",2,"Y",2,1165,896,4,168500
,4438,"CollgCr",2004,"Attchd","RFn",2,"Y",1,848,0,1,149000
112,10859,"CollgCr",1994,"Attchd","Unf",2,"Y",1,1097,0,3,145000
,50102,"Timber",1958,"Attchd","Unf",2,"Y",1,1650,0,2,250764
73,9069,"SawyerW",1993,"Attchd","Unf",4,"Y",2,1440,0,2,224500
58,14054,"Gilbert",2006,"BuiltIn","Fin",3,"Y",2,879,984,4,219210
,16269,"CollgCr",1978,"Attchd","Unf",1,"Y",1,907,0,3,140000
70,9100,"NAmes",1965,"Detchd","Unf",1,"Y",1,925,0,2,117500
65,10237,"Gilbert",2005,"Attchd","Fin",2,"Y",2,1316,0,3,169990
79,11850,"NWAmes",1984,"Attchd","Fin",2,"Y",2,1177,0,3,151500
80,9200,"NAmes",1965,"Attchd","RFn",1,"Y",1,1136,0,3,140000
174,15138,"NoRidge",1995,"Attchd","Fin",3,"Y",2,1490,1304,4,403000
72,10152,"NAmes",1956,"Attchd","Unf",1,"Y",1,1048,0,3,135000
70,8400,"NAmes",1968,"Attchd","RFn",1,"Y",1,1052,0,3,138500
,9556,"Gilbert",1992,"Attchd","RFn",2,"Y",2,1187,0,3,160000
,3072,"Blmngtn",2004,"Attchd","Fin",2,"Y",2,1414,0,2,178740
80,10000,"NWAmes",1974,"Attchd","Unf",2,"Y",2,1103,0,3,155000
99,11851,"Gilbert",1990,"Attchd","RFn",2,"Y",2,1442,0,3,180500
55,10592,"Crawfor",1923,"Detchd","Unf",1,"Y",1,900,602,3,165000
70,7560,"NAmes",1958,"Attchd","Unf",1,"Y",1,1339,0,3,139000
117,15262,"NridgHt",2003,"Attchd","Fin",3,"Y",2,2200,0,3,382500
,8638,"Sawyer",1963,"Detchd","Unf",2,"Y",1,925,0,2,133500
,11075,"ClearCr",1984,"Attchd","Fin",2,"Y",2,1522,0,3,182000
120,18000,"IDOTRR",1935,"Detchd","RFn",3,"Y",1,894,0,2,81000
57,9906,"OldTown",1925,"Detchd","Unf",1,"Y",1,810,518,3,107000
,16500,"NWAmes",1971,"Attchd","RFn",2,"Y",2,1320,0,3,172500
75,8250,"IDOTRR",1895,,,0,"N",2,1034,957,4,119600
52,9439,"OldTown",1930,"Detchd","Unf",1,"Y",1,912,336,2,87000
70,7945,"NAmes",1959,"Attchd","RFn",1,"Y",1,1150,0,3,141000
52,3068,"OldTown",1920,"Detchd","Unf",1,"Y",1,662,662,3,122000
44,17485,"Edwards",2009,"Attchd","RFn",2,"Y",1,1508,0,1,308030
,10659,"NAmes",1961,"Attchd","Unf",1,"Y",1,1050,0,3,136500
,9819,"Sawyer",1967,"Detchd","Unf",1,"Y",1,900,0,3,122000
107,14450,"NridgHt",2006,"Attchd","Fin",3,"Y",2,2121,0,3,415298
74,11002,"NoRidge",1998,"Attchd","Fin",3,"Y",2,1411,1171,4,322500
65,6565,"IDOTRR",1957,"Detchd","Unf",2,"Y",1,1073,0,3,140000
60,8520,"OldTown",1916,"Detchd","Unf",1,"Y",2,1664,862,5,136000
65,9750,"OldTown",1959,"Detchd","Unf",1,"N",1,984,0,2,110000
64,8333,"CollgCr",2006,"Attchd","RFn",2,"Y",2,738,753,3,168675
40,6792,"NridgHt",2005,"Attchd","RFn",2,"Y",2,1368,0,2,202665
38,15240,"CollgCr",1977,"Attchd","Unf",1,"Y",1,1026,0,3,150000
74,10141,"Gilbert",1998,"Attchd","Fin",2,"Y",2,885,833,3,185000
,12537,"NAmes",1971,"Attchd","Fin",2,"Y",1,1078,0,3,149900
52,5825,"BrkSide",1926,"Detchd","Unf",2,"Y",1,747,0,1,79900
,8398,"Sawyer",1967,"Detchd","Unf",2,"Y",1,943,0,2,134500
70,8393,"NAmes",1959,"Attchd","Fin",2,"Y",2,1712,0,4,145000
63,4761,"IDOTRR",1918,,,0,"N",1,1020,0,2,64500
,7162,"Sawyer",1966,"Attchd","Unf",1,"Y",1,904,0,3,109900
62,8244,"Gilbert",2004,"Attchd","Fin",2,"Y",2,840,880,3,183500
130,9600,"Crawfor",1940,"Detchd","Unf",1,"Y",1,976,332,2,160000
71,7350,"NAmes",1958,"Attchd","RFn",1,"Y",1,1041,0,3,128000
,8239,"GrnHill",1986,"Attchd","RFn",1,"Y",2,1295,0,2,230000
65,14149,"Sawyer",1964,"Detchd","Unf",2,"Y",2,1020,0,3,165000
87,13050,"ClearCr",1963,"Attchd","Unf",2,"Y",1,1000,0,1,164000
75,9525,"CollgCr",1995,"Attchd","Unf",1,"Y",1,1099,0,3,144000
70,9116,"Mitchel",2001,"Attchd","RFn",2,"Y",2,1491,0,3,209000
41,4923,"StoneBr",2001,"Attchd","Fin",2,"Y",1,1593,0,0,286000
60,3600,"OldTown",1910,"Detchd","Unf",1,"N",1,684,684,3,114504
80,8480,"NAmes",1945,"Detchd","Unf",1,"Y",1,793,0,2,113000
60,8064,"NAmes",1948,"Detchd","Unf",2,"Y",2,819,501,3,138000
59,16466,"Edwards",1955,"Attchd","Unf",1,"Y",1,872,521,3,135500
57,8013,"StoneBr",1995,"Attchd","RFn",2,"Y",2,1734,0,2,239500
94,9400,"Mitchel",1971,,,0,"Y",2,912,912,4,139000
80,9736,"NAmes",1957,"Attchd","Unf",2,"Y",1,1721,0,4,174850
68,9724,"NAmes",1947,"Detchd","Unf",1,"Y",1,1043,0,2,137000
,13215,"NridgHt",2004,"BuiltIn","RFn",3,"Y",2,1426,488,3,279000
80,14695,"NAmes",1966,"Attchd","Unf",2,"Y",2,1567,0,2,256000
89,11792,"Edwards",1948,"Detchd","Unf",2,"P",1,792,328,2,64000
,13052,"Sawyer",1965,"Attchd","Unf",1,"Y",1,1024,0,3,120875
48,17043,"NWAmes",1979,"Attchd","Unf",2,"Y",2,1586,0,3,181000
48,6240,"NridgHt",2006,"Attchd","Fin",2,"Y",2,1342,0,2,234250
79,9490,"NAmes",1941,"Attchd","Unf",1,"Y",1,958,620,3,133000
65,9750,"NAmes",1969,"Attchd","Unf",2,"Y",1,1054,0,3,151000
121,17671,"OldTown",1882,"Attchd","Unf",2,"P",1,916,826,4,168000
88,12128,"SawyerW",1989,"Attchd","RFn",2,"Y",2,1313,1246,4,209000
65,7800,"Sawyer",1967,"Attchd","Fin",1,"Y",1,899,0,3,130000
51,6120,"BrkSide",1925,"Detchd","Unf",1,"Y",1,1015,0,3,88000
60,9060,"Edwards",1957,"Attchd","RFn",1,"Y",1,1340,0,3,120000
86,14157,"StoneBr",2005,"Attchd","Fin",3,"Y",2,1922,0,3,377426
66,7742,"Sawyer",1966,"Attchd","Unf",1,"Y",1,955,0,3,127000
75,10084,"Somerst",2004,"Attchd","RFn",2,"Y",2,1694,0,3,307000
104,14418,"NridgHt",2007,"Attchd","Fin",3,"Y",2,1950,0,2,383000
32,3784,"Somerst",2006,"Attchd","Fin",2,"Y",2,1565,0,2,193800
50,9340,"Edwards",1941,"Attchd","Unf",1,"N",1,672,0,2,113000
57,8280,"NAmes",1950,"Attchd","Unf",1,"Y",1,932,0,2,124000
,8696,"CollgCr",1997,"Attchd","RFn",2,"Y",2,1418,0,3,226001
44,3843,"Crawfor",2007,"Attchd","Fin",2,"Y",2,1648,0,2,294464
73,11184,"Gilbert",1998,"Attchd","Fin",2,"Y",2,932,701,3,183000
,2980,"Somerst",2000,"Detchd","Unf",2,"Y",2,756,756,2,177000
,9790,"NWAmes",1963,"Attchd","Unf",2,"Y",1,1328,0,3,143000
30,3182,"Somerst",2004,"Detchd","RFn",2,"Y",2,600,600,2,151000
60,10998,"Edwards",1941,"Detchd","Unf",2,"Y",2,984,620,3,117000
100,10175,"NAmes",1964,"Attchd","RFn",2,"Y",2,1425,0,3,180500
50,6000,"OldTown",1920,"Detchd","Unf",1,"Y",1,960,0,2,108500
44,12864,"Mitchel",2002,"Attchd","RFn",2,"Y",1,1409,0,1,245000
65,7804,"SWISU",1928,"Detchd","Unf",2,"Y",2,1328,653,4,135000
24,2104,"NPkVill",1976,"Attchd","Unf",1,"Y",1,836,0,2,128500
80,9364,"Sawyer",1969,"Attchd","Fin",1,"Y",1,663,689,4,158000
60,10044,"Edwards",1968,"Attchd","RFn",1,"Y",1,1196,0,3,144000
,21000,"Crawfor",1953,"Basment","Unf",2,"Y",2,2259,0,3,217000
75,8050,"Edwards",2002,,,0,"N",1,914,0,2,117250
41,10905,"CollgCr",2003,"BuiltIn","RFn",2,"Y",2,1129,1198,4,240000
50,6000,"BrkSide",1926,"Detchd","Unf",1,"Y",1,904,0,2,119000
65,8450,"Sawyer",1965,"Detchd","Unf",1,"Y",1,894,0,3,138500
78,10140,"NWAmes",1998,"Attchd","Fin",2,"Y",2,1680,0,3,213250
65,7441,"SawyerW",2006,"Attchd","RFn",2,"Y",2,1486,0,3,181000
64,6979,"OldTown",1980,"Detchd","Unf",2,"Y",0,1056,0,0,144000
,4435,"CollgCr",2003,"Attchd","Fin",2,"Y",1,848,0,1,144000
,9505,"Gilbert",2001,"BuiltIn","Fin",2,"Y",2,884,1151,3,222500
105,11249,"CollgCr",1995,"Attchd","RFn",2,"Y",2,1200,0,3,177500
60,10800,"OldTown",1915,"Detchd","Unf",1,"Y",2,966,686,4,139000
83,11980,"SawyerW",1987,"Attchd","RFn",2,"Y",1,1433,0,1,270000
99,7094,"Sawyer",1966,"Detchd","RFn",1,"Y",1,894,0,3,125000
21,1680,"BrDale",1971,"Detchd","Unf",1,"Y",1,525,567,3,88000
129,9196,"Mitchel",2003,"Attchd","Fin",2,"Y",2,1560,0,3,201000
73,8925,"Timber",2007,"Attchd","Fin",3,"Y",2,1466,0,3,201000
51,6120,"BrkSide",1925,"Detchd","Unf",1,"Y",1,995,0,2,115000
85,10667,"NAmes",1971,"Attchd","Unf",2,"Y",2,1587,0,3,167300
,8470,"Somerst",2002,"Attchd","RFn",2,"Y",2,972,839,3,235000
74,8834,"NridgHt",2004,"Attchd","Fin",3,"Y",2,1462,762,4,350000
80,9000,"NAmes",1958,"Basment","RFn",1,"Y",1,1142,0,2,113500
47,7755,"OldTown",1918,"Detchd","Unf",1,"Y",2,1100,1164,4,200000
80,9600,"NAmes",1950,"Attchd","Unf",1,"Y",1,1113,0,3,147000
80,9600,"NAmes",1958,"Attchd","RFn",1,"Y",2,1632,0,3,139000
55,7700,"NAmes",1956,"Detchd","Unf",2,"Y",1,1145,0,3,127000
64,6390,"NAmes",1954,"Detchd","Unf",1,"Y",1,984,0,2,112500
61,7328,"SawyerW",2008,"Attchd","RFn",3,"Y",2,1450,0,2,224243
103,12205,"OldTown",1949,,,0,"N",2,1588,0,5,65000
60,10800,"NAmes",1949,"Detchd","Unf",1,"Y",2,832,629,4,133500
86,14598,"Somerst",2007,"BuiltIn","Fin",3,"Y",2,894,1039,4,214000
,9000,"Sawyer",1947,,,0,"N",1,660,0,2,63900
62,7706,"Mitchel",1993,"Attchd","Fin",1,"Y",1,1091,0,2,131250
75,11625,"Sawyer",1967,"Attchd","Fin",1,"Y",1,1052,0,3,113500
75,11625,"Sawyer",1965,"Attchd","Unf",2,"Y",1,1039,0,3,131500
,39384,"NAmes",1957,"Attchd","Unf",2,"Y",1,1390,0,1,252000
60,7200,"OldTown",1940,"Attchd","Unf",1,"Y",1,804,0,2,119000
79,9416,"Somerst",2007,"Attchd","Fin",3,"Y",2,1726,0,3,311872
50,9000,"OldTown",1880,"Detchd","Unf",1,"N",1,1089,661,3,124000
80,10791,"NWAmes",1993,"Attchd","Unf",2,"Y",2,1280,1215,4,243500
50,6060,"IDOTRR",1939,"Detchd","Unf",1,"P",1,772,351,3,100000
,13041,"Gilbert",1995,"Attchd","Fin",2,"Y",2,781,890,3,170000
75,8285,"SawyerW",1992,"Attchd","Fin",2,"Y",2,844,893,3,175000
64,8791,"Somerst",2003,"Attchd","RFn",2,"Y",2,864,864,3,207500
60,8123,"Gilbert",2000,"Attchd","Fin",2,"Y",2,1007,793,3,179000
75,45600,"ClearCr",1908,"Detchd","Unf",2,"Y",3,1307,1051,5,240000
,9500,"NAmes",1963,"Attchd","RFn",2,"Y",1,1394,0,3,159000
50,9000,"IDOTRR",1949,"Detchd","Unf",1,"Y",0,480,0,1,35311
90,33120,"OldTown",1962,"Detchd","Unf",2,"Y",2,1611,875,5,220000
82,11070,"Mitchel",1988,"2Types","Unf",3,"Y",3,1959,0,5,171000
64,7697,"Gilbert",2007,"Attchd","RFn",2,"Y",2,1258,0,3,173500
65,8125,"Somerst",2005,"Attchd","RFn",2,"Y",2,858,858,3,200825
60,5790,"OldTown",1915,"Detchd","Unf",1,"Y",2,840,765,3,107400
56,8398,"OldTown",1910,"Detchd","Unf",2,"N",2,991,659,3,144100
49,20896,"Somerst",2005,"Attchd","Fin",3,"Y",1,2097,0,1,423000
78,12168,"Crawfor",1934,"Basment","Unf",2,"Y",2,1940,1254,4,359100
58,6380,"BrkSide",1922,"Detchd","Unf",1,"Y",1,1048,0,2,113000
93,9382,"CollgCr",1999,"Attchd","RFn",2,"Y",2,1479,0,3,191000
,9763,"GrnHill",1998,"Attchd","Fin",1,"Y",1,1502,0,1,330000
106,11194,"Gilbert",2000,"Attchd","RFn",2,"Y",2,1454,482,3,230500
65,8773,"CollgCr",2004,"Attchd","RFn",2,"Y",2,1414,0,3,185500
72,11072,"NAmes",1965,"Detchd","Unf",2,"Y",2,1728,0,6,145000
70,8163,"NAmes",1959,"Attchd","RFn",1,"Y",1,1144,0,3,143000
60,8544,"NAmes",1950,"Detchd","Unf",2,"Y",2,1040,0,2,93500
112,12217,"Somerst",2007,"Attchd","Fin",3,"Y",2,955,925,3,310013
50,6000,"BrkSide",1937,"Detchd","Unf",1,"Y",2,825,672,3,157000
110,13440,"NridgHt",2006,"BuiltIn","Fin",3,"Y",2,1148,1402,4,338931
,8125,"CollgCr",2002,"Attchd","Unf",3,"Y",2,1654,0,3,230000
75,11310,"NAmes",1954,"Attchd","Unf",2,"Y",1,1375,0,2,140000
50,5250,"OldTown",1872,,,0,"Y",2,938,1215,4,122000
68,50271,"Veenker",1981,"Attchd","Fin",3,"Y",0,1842,0,0,385000
,12546,"NWAmes",1981,"Attchd","Fin",2,"Y",2,1440,0,3,182900
43,12712,"Sawyer",1973,"Attchd","RFn",2,"Y",1,1055,0,2,147000
89,10557,"NoRidge",1998,"Attchd","Fin",3,"Y",2,1671,1407,4,410000
60,7200,"NAmes",1950,"Detchd","Unf",2,"Y",1,1040,0,2,109900
37,3316,"Somerst",2005,"Attchd","Fin",2,"Y",1,1247,0,1,197000
137,16492,"NAmes",1966,"Attchd","Fin",2,"Y",2,1888,0,2,190000
135,12304,"NridgHt",2005,"Attchd","RFn",2,"Y",2,1367,0,2,192000
113,21281,"NAmes",1935,"BuiltIn","Unf",3,"Y",3,1308,1778,4,301600
50,7585,"Edwards",1948,"Detchd","Unf",1,"P",1,1002,454,4,91500
60,8064,"NAmes",1950,"Detchd","Unf",2,"Y",1,765,368,3,128500
,13346,"NoRidge",1992,"Attchd","RFn",2,"Y",2,1166,1129,4,268000
75,7862,"Somerst",2009,"Attchd","Fin",2,"Y",2,1218,0,2,208300
39,3515,"Somerst",2004,"Attchd","RFn",2,"Y",2,840,840,2,190000
70,8145,"CollgCr",2007,"Attchd","RFn",2,"Y",2,738,738,3,179400
26,10943,"NAmes",1997,"Attchd","Fin",2,"Y",2,1337,0,2,177000
,9531,"CollgCr",1998,"Attchd","RFn",2,"Y",2,882,914,3,211000
,8000,"Gilbert",1995,"Attchd","Fin",2,"Y",2,773,885,3,188000
67,8877,"Edwards",1951,"Detchd","Unf",2,"Y",1,1220,0,2,102000
,18275,"NAmes",1962,"Attchd","RFn",2,"Y",3,1900,548,3,277500
,12891,"Gilbert",2002,"BuiltIn","Fin",3,"Y",2,878,1126,4,257500
85,14536,"Timber",2002,"Attchd","Fin",3,"Y",2,1629,0,3,270000
57,10021,"CollgCr",1997,"Attchd","RFn",2,"Y",2,646,662,3,175000
85,10625,"Somerst",2005,"Attchd","Fin",3,"Y",2,1026,932,3,250000
75,12000,"Crawfor",1941,"Attchd","Unf",1,"Y",1,860,704,3,174500
53,7155,"Crawfor",1926,"Detchd","Unf",1,"N",1,686,775,3,135000
92,12003,"Timber",2009,"BuiltIn","Fin",3,"Y",2,774,1194,4,269500
86,11210,"CollgCr",2005,"Attchd","RFn",3,"Y",2,1614,0,3,221500
24,2280,"Somerst",1999,"Detchd","Unf",2,"Y",2,757,744,3,179400
47,4230,"Somerst",2006,"Attchd","RFn",2,"Y",2,1352,0,2,208900
85,9187,"Somerst",2009,"Attchd","Fin",3,"Y",2,1766,0,2,370878
70,11200,"Sawyer",1965,"Detchd","Unf",1,"Y",1,1040,0,3,129500
,16647,"Sawyer",1975,"Basment","Fin",2,"Y",2,1701,0,3,171000
,8965,"Gilbert",2003,"Attchd","Fin",2,"Y",2,806,683,3,192000
60,7134,"NAmes",1955,"Detchd","Unf",2,"Y",1,1360,0,3,130000
50,7175,"SawyerW",1991,"Attchd","RFn",2,"Y",2,1217,0,2,151000
60,8520,"OldTown",1923,"Detchd","Unf",1,"Y",1,792,0,2,99500
68,9724,"NAmes",1952,"Detchd","Unf",2,"Y",2,1929,532,3,197600
87,12361,"SawyerW",1993,"2Types","RFn",4,"Y",2,964,838,3,218000
98,13260,"NAmes",1962,,,0,"Y",2,1728,0,6,84900
60,7436,"NAmes",1960,"Detchd","Unf",2,"Y",1,894,0,2,141500
40,3880,"OldTown",1945,,,0,"Y",1,866,0,2,110500
,8098,"Timber",2000,"Attchd","Unf",2,"Y",2,1403,0,2,202000
,20062,"ClearCr",1977,"Attchd","RFn",2,"Y",1,1483,0,1,270000
81,15593,"ClearCr",1953,"Attchd","Fin",2,"Y",2,1304,983,3,225000
80,9600,"NWAmes",1969,"Attchd","Unf",2,"Y",1,1164,0,3,140000
,10920,"NAmes",1960,"Attchd","RFn",1,"Y",1,1253,0,2,157000
64,12102,"Edwards",1976,"BuiltIn","RFn",2,"Y",1,1033,0,3,165000
73,9802,"Timber",2006,"BuiltIn","Fin",2,"Y",2,744,700,3,174000
,57200,"Timber",1948,"Detchd","Unf",2,"N",1,1687,0,3,160000
70,16561,"CollgCr",1996,"Attchd","Unf",1,"Y",1,1097,0,3,147900
,11515,"Edwards",1958,"Detchd","Unf",1,"N",1,943,0,3,80000
90,10012,"Edwards",1972,"Detchd","RFn",2,"Y",2,1181,0,3,137500
45,8982,"CollgCr",1977,"Detchd","Unf",2,"Y",1,1040,0,3,134900
73,8760,"CollgCr",2006,"Attchd","RFn",3,"Y",2,1391,571,3,239799
70,9605,"Somerst",2006,"Attchd","RFn",3,"Y",2,982,995,3,250000
,9945,"Sawyer",1961,"Detchd","Unf",2,"Y",1,988,0,3,128500
58,8155,"IDOTRR",1930,,,0,"Y",1,780,420,4,119000
76,7630,"OldTown",1900,"Detchd","Unf",2,"N",2,1032,780,4,140000
30,3215,"Somerst",2004,"Detchd","RFn",2,"Y",2,600,600,2,155000
32,4500,"Mitchel",1998,"Attchd","Fin",2,"Y",2,1337,0,2,153500
70,10570,"Crawfor",1932,"Detchd","Unf",2,"Y",2,1549,1178,3,315000
,10900,"CollgCr",1977,"Attchd","Fin",1,"Y",1,689,703,3,161750
64,10475,"CollgCr",2008,"Attchd","RFn",3,"Y",2,1694,0,3,245350
50,6000,"BrkSide",1929,"BuiltIn","RFn",1,"Y",1,950,208,3,120000
43,5005,"StoneBr",1992,"Attchd","RFn",2,"Y",2,1280,0,2,191500
70,8400,"NAmes",1957,"Attchd","RFn",1,"Y",1,1314,0,3,145000
,10624,"NAmes",1964,"Detchd","Unf",1,"Y",2,1728,0,6,119000
60,9000,"NAmes",1971,"Detchd","Unf",2,"Y",1,864,0,3,130000
81,10411,"Somerst",2007,"Attchd","Unf",2,"Y",3,725,863,3,212109
62,10441,"Mitchel",1992,,,0,"Y",1,970,0,3,132000
,9981,"Sawyer",1967,"Attchd","RFn",1,"Y",1,1073,0,3,120000
100,12665,"OldTown",1915,"Detchd","Unf",3,"Y",1,876,540,4,153900
,9650,"Crawfor",1923,"Attchd","Unf",2,"Y",1,819,784,4,138000
,14585,"NAmes",1960,"Attchd","Unf",2,"Y",1,1429,0,3,181900
85,14331,"Timber",2002,"Attchd","Fin",3,"Y",2,1800,0,3,312500
