Area Number,Community,Crowded Housing Rate (More than one occupant per room),Poverty Rate (Share of households with income below poverty level),Unemployment Rate,No High School Diploma Rate (Share of population age 25 and older without a high school diploma),Dependency Rate (Share of population under 18 and over 64 years of age),Per Capita Income,Hardship Index Value
67,West Englewood,2.4,34.7,18.6,23.1,40.9,"$20,512",61.2
68,Englewood,0.8,37.8,20.6,23.3,39.3,"$19,181",60.4
69,Greater Grand Crossing,2.9,28.5,15.5,13.1,40.4,"$25,236",52.2
70,Ashburn,3.7,14.4,9.3,18.8,37.4,"$30,254",45.8
71,Auburn Gresham,3.1,25.2,17.8,14.4,44,"$24,852",55.3
72,Beverly,0.6,5.7,8.4,2.3,42.4,"$66,443",25.8
73,Washington Heights,0.5,16.1,10.7,10.2,39.3,"$31,820",38.3
74,Mount Greenwood,1.6,6.8,4.6,4,40.5,"$51,211",27.8
75,Morgan Park,0.9,11.9,7.3,6,46.1,"$39,848",35.3
76,O'Hare,4.2,8,4,7.4,32,"$43,368",31
77,Edgewater,3.2,14.2,6.7,6.5,26.5,"$54,966",28.1
Source: 2019-2023 American Community Survey 5-year Estimates. Calculations by the Great Cities Institute.,,,,,,,,
